actividad,cantidad,estatus,pais,genero
Poultry,600,in_repayment,El Salvador,F
Personal Medical Expenses,1050,paid,Tajikistan,F
Cattle,225,paid,Tajikistan,F
General Store,1350,paid,Rwanda,F
Higher education costs,775,in_repayment,Tajikistan,M
General Store,550,paid,Philippines,F
Farming,675,in_repayment,Honduras,F
Transportation,250,in_repayment,Philippines,F
Charcoal Sales,600,in_repayment,Kenya,F
Grocery Store,350,paid,Philippines,F
Farming,425,paid,Tajikistan,F
Home Energy,875,in_repayment,Nicaragua,M
Shoe Sales,425,paid,Mali,F
Retail,850,paid,Mali,F
Shoe Sales,1075,paid,Mali,F
Fruits & Vegetables,550,paid,Mali,F
Cosmetics Sales,300,paid,Mali,F
Agriculture,600,in_repayment,Ecuador,F
Dairy,550,paid,Mali,F
Retail,325,paid,Mali,F
Used Clothing,100,paid,Uganda,F
Food Market,1200,paid,Rwanda,F
Vehicle,725,in_repayment,Armenia,F
Clothing Sales,700,in_repayment,Yemen,F
Clothing Sales,1000,in_repayment,Uganda,F
Personal Purchases,225,paid,Philippines,F
Retail,1175,in_repayment,Kenya,F
Food Market,450,paid,Rwanda,F
Services,1175,paid,Kenya,M
Retail,250,paid,Kenya,F
Farming,300,paid,Philippines,F
General Store,700,in_repayment,Kenya,M
Fruits & Vegetables,525,in_repayment,Kenya,F
General Store,225,paid,Philippines,F
Livestock,925,in_repayment,Kenya,M
Fruits & Vegetables,225,paid,Kenya,F
Food Production/Sales,225,paid,Philippines,F
Jewelry,850,paid,Guatemala,F
Personal Housing Expenses,500,in_repayment,El Salvador,M
Higher education costs,1050,in_repayment,Nicaragua,M
Retail,775,in_repayment,Guatemala,F
Cattle,500,in_repayment,El Salvador,M
Grocery Store,400,paid,Guatemala,M
Grocery Store,425,paid,Honduras,F
Retail,350,paid,Kenya,M
Grocery Store,775,in_repayment,Armenia,F
Used Clothing,925,in_repayment,Sierra Leone,F
General Store,700,in_repayment,Kenya,F
Dairy,275,in_repayment,Kenya,M
Retail,175,paid,Kenya,M
Agriculture,350,paid,Philippines,F
Food Production/Sales,250,paid,Kenya,M
Farming,350,paid,Kenya,F
Poultry,175,in_repayment,Kenya,F
Used Clothing,175,paid,Kenya,M
Farming,175,paid,Kenya,M
Fish Selling,475,in_repayment,Sierra Leone,F
Farming,600,in_repayment,Kenya,M
Grocery Store,275,in_repayment,Kenya,F
Livestock,1225,in_repayment,Armenia,M
Cereals,125,paid,Kenya,F
Fishing,550,in_repayment,Peru,M
Cattle,850,paid,Tajikistan,M
Farming,350,paid,Kenya,F
Motorcycle Transport,225,paid,Philippines,F
Farming,650,in_repayment,Kenya,M
Food Market,1200,paid,Rwanda,F
General Store,450,paid,Philippines,F
Cafe,2250,in_repayment,Azerbaijan,M
Food Market,750,in_repayment,Sierra Leone,F
Used Clothing,100,paid,Uganda,F
Pub,750,paid,Rwanda,M
Consumer Goods,425,in_repayment,Tajikistan,F
Pharmacy,2000,in_repayment,Uganda,F
Shoe Sales,1125,in_repayment,Sierra Leone,M
Pigs,225,paid,Philippines,F
Fish Selling,350,in_repayment,Kenya,F
Food Production/Sales,600,in_repayment,Kenya,F
Farming,1225,in_repayment,Armenia,F
Fruits & Vegetables,125,paid,Uganda,F
Grocery Store,850,in_repayment,Sierra Leone,F
Sewing,1000,in_repayment,Tajikistan,F
Fish Selling,1175,in_repayment,Kenya,F
Clothing Sales,1625,in_repayment,Ukraine,F
Beauty Salon,125,paid,Uganda,F
Farming,1225,in_repayment,Armenia,M
Clothing Sales,875,in_repayment,Ukraine,F
Personal Housing Expenses,625,paid,Tajikistan,F
Beauty Salon,175,paid,Uganda,F
Education provider,725,in_repayment,Armenia,F
Home Products Sales,700,in_repayment,Georgia,F
General Store,125,paid,Philippines,F
Fruits & Vegetables,1925,in_repayment,Azerbaijan,F
Personal Housing Expenses,875,in_repayment,Ukraine,M
Food Stall,250,in_repayment,Kenya,F
Fruits & Vegetables,350,in_repayment,Kenya,F
Charcoal Sales,725,in_repayment,Kenya,F
Fish Selling,100,paid,Uganda,F
Agriculture,1425,in_repayment,Azerbaijan,M
General Store,1050,in_repayment,Sierra Leone,F
Food,350,in_repayment,Kenya,F
Soft Drinks,600,in_repayment,Kenya,F
Clothing Sales,2700,in_repayment,Ukraine,M
Food Stall,925,in_repayment,Guatemala,F
Farming,975,paid,Armenia,F
Food Production/Sales,375,in_repayment,Sierra Leone,F
Food Market,100,paid,Uganda,F
Used Clothing,200,paid,Uganda,F
Property,125,in_repayment,Kenya,F
Cloth & Dressmaking Supplies,400,paid,Uganda,M
General Store,425,paid,Pakistan,F
Manufacturing,475,in_repayment,Pakistan,F
Grocery Store,2275,in_repayment,Ukraine,F
Personal Housing Expenses,850,in_repayment,Tajikistan,F
Cosmetics Sales,475,in_repayment,Kenya,F
Food Production/Sales,350,paid,Philippines,F
General Store,400,paid,Uganda,M
Sewing,425,in_repayment,Pakistan,F
Animal Sales,425,in_repayment,Pakistan,F
Milk Sales,625,in_repayment,Pakistan,F
General Store,475,in_repayment,Pakistan,F
Embroidery,425,in_repayment,Pakistan,F
Animal Sales,425,in_repayment,Pakistan,F
Beauty Salon,425,in_repayment,Pakistan,F
Food Production/Sales,1025,paid,El Salvador,F
Fuel/Firewood,275,in_repayment,Philippines,F
Farming,1225,in_repayment,Armenia,M
Sewing,425,in_repayment,Pakistan,F
Food Stall,200,paid,Uganda,F
Perfumes,875,in_repayment,Ukraine,F
Fish Selling,300,paid,Philippines,F
General Store,425,in_repayment,Pakistan,F
Motorcycle Transport,375,paid,Philippines,F
Cattle,1200,paid,Uganda,M
Agriculture,425,in_repayment,Pakistan,F
Fish Selling,150,paid,Philippines,F
Grocery Store,675,paid,Rwanda,F
Retail,250,paid,Philippines,F
Food Production/Sales,175,paid,Philippines,F
Animal Sales,425,in_repayment,Pakistan,F
General Store,425,in_repayment,Pakistan,F
Primary/secondary school costs,400,paid,Uganda,F
Food Market,2925,paid,Uganda,M
Decorations Sales,1600,in_repayment,Ukraine,F
Food Production/Sales,925,in_repayment,Sierra Leone,F
Food Stall,225,paid,Philippines,F
Personal Housing Expenses,850,in_repayment,Ukraine,F
General Store,225,paid,Philippines,F
Crafts,175,paid,Philippines,F
Fish Selling,225,paid,Philippines,F
Farming,1225,in_repayment,Armenia,M
Higher education costs,225,paid,Armenia,M
Food Production/Sales,225,paid,Philippines,F
General Store,225,paid,Philippines,F
Fruits & Vegetables,575,paid,Philippines,F
Construction,1225,in_repayment,Armenia,M
Fish Selling,400,in_repayment,Philippines,F
Pigs,350,in_repayment,Philippines,F
Farming,275,paid,Philippines,F
General Store,1575,in_repayment,Armenia,F
Fruits & Vegetables,2900,in_repayment,Armenia,M
Dairy,825,in_repayment,Kenya,F
Personal Housing Expenses,600,in_repayment,Nicaragua,M
Clothing Sales,1275,in_repayment,Ukraine,F
Grocery Store,425,paid,Honduras,F
General Store,225,paid,Philippines,F
Fishing,275,paid,Philippines,F
Tailoring,475,in_repayment,Philippines,F
Personal Housing Expenses,400,paid,Uganda,M
Pigs,300,paid,Philippines,F
Fruits & Vegetables,450,in_repayment,Philippines,F
General Store,350,paid,Philippines,F
Livestock,325,paid,Philippines,F
General Store,350,paid,Philippines,F
Pigs,250,paid,Philippines,F
General Store,275,paid,Philippines,F
General Store,1200,paid,El Salvador,F
Clothing Sales,425,paid,Honduras,F
Food Stall,525,paid,Guatemala,F
Higher education costs,1650,in_repayment,India,F
Animal Sales,2525,paid,Peru,F
Personal Housing Expenses,500,in_repayment,El Salvador,M
General Store,450,paid,Philippines,F
Food Production/Sales,350,paid,Philippines,F
Pigs,375,paid,Philippines,F
Food Production/Sales,375,paid,Philippines,F
Agriculture,775,in_repayment,Honduras,F
General Store,225,paid,Philippines,F
General Store,225,paid,Philippines,F
Food Market,925,in_repayment,Sierra Leone,F
Farming,300,in_repayment,Kenya,M
Fruits & Vegetables,1200,in_repayment,Uganda,M
Agriculture,650,in_repayment,Honduras,F
Charcoal Sales,1775,paid,Ghana,F
Personal Housing Expenses,500,in_repayment,El Salvador,F
Food,1175,in_repayment,Sierra Leone,F
Food Stall,250,paid,Colombia,F
Fruits & Vegetables,2875,paid,Rwanda,F
Grocery Store,2100,paid,Ghana,F
Clothing Sales,325,paid,Mali,F
Agriculture,5575,in_repayment,Guatemala,M
Agriculture,775,in_repayment,Honduras,F
Cereals,375,paid,Mali,F
Computers,3000,in_repayment,Iraq,M
Farming,350,paid,El Salvador,M
Primary/secondary school costs,1500,in_repayment,Iraq,M
Retail,300,in_repayment,Liberia,F
Primary/secondary school costs,2400,in_repayment,Iraq,F
Cafe,1050,paid,Tanzania,F
Food Production/Sales,325,paid,Mali,F
Clothing Sales,350,paid,Philippines,F
Farming,225,paid,Philippines,F
General Store,450,paid,Philippines,F
Poultry,350,in_repayment,Kenya,M
Soft Drinks,275,in_repayment,Liberia,F
Food Market,375,in_repayment,Sierra Leone,F
Charcoal Sales,1275,paid,Tanzania,F
Shoe Sales,300,in_repayment,Sierra Leone,F
Home Products Sales,925,paid,Ghana,F
Fuel/Firewood,175,in_repayment,Sierra Leone,F
Food Stall,250,in_repayment,Sierra Leone,F
Agriculture,750,in_repayment,Colombia,M
Food Production/Sales,775,paid,Nicaragua,F
Clothing Sales,300,in_repayment,Sierra Leone,F
Food Market,375,in_repayment,Liberia,F
General Store,700,paid,El Salvador,F
Food Production/Sales,300,in_repayment,Liberia,F
General Store,475,in_repayment,Sierra Leone,F
Food Market,375,paid,Sierra Leone,F
Food Production/Sales,225,in_repayment,Sierra Leone,F
Food Market,200,in_repayment,Sierra Leone,F
Fish Selling,250,in_repayment,Liberia,F
Fuel/Firewood,300,in_repayment,Sierra Leone,F
Clothing Sales,200,in_repayment,Sierra Leone,F
Food Production/Sales,1050,paid,Nicaragua,F
Pharmacy,200,in_repayment,Sierra Leone,F
Shoe Sales,250,in_repayment,Sierra Leone,F
Sewing,3000,in_repayment,Iraq,F
General Store,475,in_repayment,Sierra Leone,F
Food Production/Sales,800,paid,El Salvador,F
Higher education costs,225,paid,Colombia,F
Restaurant,150,paid,Mali,F
Food Production/Sales,325,paid,Mali,F
Agriculture,525,in_repayment,Honduras,F
Food Production/Sales,300,paid,Mali,F
Beauty Salon,1825,in_repayment,Costa Rica,F
Cafe,3000,in_repayment,Iraq,M
Food Market,250,in_repayment,Sierra Leone,F
Food Production/Sales,1400,paid,Nicaragua,F
Higher education costs,225,paid,Colombia,F
Home Appliances,700,in_repayment,Yemen,F
General Store,250,in_repayment,Sierra Leone,F
Food,275,paid,Sierra Leone,F
Food Market,250,in_repayment,Sierra Leone,F
Home Appliances,950,in_repayment,Yemen,F
General Store,675,paid,Philippines,F
Charcoal Sales,325,paid,Mali,F
Retail,225,paid,Philippines,F
General Store,225,paid,Philippines,F
Water Distribution,1125,paid,Philippines,F
General Store,275,paid,Philippines,F
General Store,450,paid,Philippines,F
General Store,675,paid,Philippines,F
Cloth & Dressmaking Supplies,1075,in_repayment,Costa Rica,F
Cereals,200,paid,Philippines,F
General Store,1125,paid,Philippines,F
Hardware,1125,paid,Philippines,M
Food Stall,400,in_repayment,Indonesia,F
Retail,575,in_repayment,Philippines,F
Pigs,225,paid,Philippines,F
Clothing Sales,225,paid,Philippines,F
Clothing Sales,225,paid,Philippines,F
General Store,300,paid,Philippines,F
Retail,275,paid,Philippines,F
General Store,450,paid,Philippines,F
Fruits & Vegetables,275,paid,Philippines,F
General Store,450,paid,Philippines,F
Pigs,625,paid,Philippines,F
Fish Selling,350,paid,Philippines,F
Personal Products Sales,1075,in_repayment,Costa Rica,F
Higher education costs,500,in_repayment,Cambodia,M
Food Production/Sales,275,paid,Mali,F
Pigs,600,paid,Philippines,F
General Store,225,paid,Philippines,F
Transportation,350,paid,Philippines,M
Food Production/Sales,350,paid,Philippines,F
Services,525,paid,Philippines,F
Pigs,400,paid,Philippines,F
Fruits & Vegetables,225,paid,Philippines,F
Farming,450,paid,Philippines,F
Pigs,300,paid,Philippines,F
Cereals,450,paid,Philippines,F
Food Production/Sales,225,in_repayment,Philippines,F
Retail,3425,in_repayment,Mongolia,F
Tailoring,525,paid,Mongolia,F
General Store,225,paid,Philippines,F
Fruits & Vegetables,575,in_repayment,Philippines,F
Motorcycle Transport,350,in_repayment,Philippines,F
Farming,925,in_repayment,Cambodia,F
General Store,400,paid,Philippines,F
Higher education costs,375,in_repayment,Indonesia,F
General Store,800,paid,Philippines,F
General Store,1125,paid,Philippines,F
Home Energy,125,in_repayment,Philippines,F
Pigs,350,paid,Philippines,F
Pigs,300,paid,Philippines,F
Food,875,in_repayment,Cambodia,F
General Store,675,paid,Philippines,F
Pigs,825,in_repayment,Philippines,F
Pigs,775,in_repayment,Cambodia,F
Home Products Sales,450,paid,Philippines,F
General Store,225,paid,Philippines,F
Farming,925,paid,Cambodia,F
Pigs,450,paid,Philippines,F
Livestock,225,paid,Philippines,F
Tailoring,1150,paid,Mongolia,F
Services,300,paid,Philippines,F
Pigs,450,paid,Philippines,F
General Store,150,paid,Philippines,F
Farming,625,paid,Cambodia,F
Food Production/Sales,450,in_repayment,Philippines,F
Food Production/Sales,375,paid,Mali,F
Food Production/Sales,225,paid,Mali,F
Higher education costs,225,paid,Philippines,M
Crafts,325,paid,Mali,F
Used Clothing,200,paid,Mali,F
Farming,350,in_repayment,Cambodia,F
Retail,750,paid,Mali,F
Fishing,225,paid,Philippines,F
Fruits & Vegetables,250,paid,Philippines,F
Charcoal Sales,275,paid,Philippines,F
General Store,275,paid,Philippines,F
Laundry,550,paid,Peru,F
Motorcycle Transport,1500,in_repayment,Bolivia,M
Home Energy,525,in_repayment,Nicaragua,F
Charcoal Sales,350,paid,Philippines,F
Fruits & Vegetables,600,in_repayment,Ecuador,F
Farming,225,paid,Philippines,F
Fishing,275,paid,Philippines,F
Consumer Goods,375,in_repayment,Peru,M
Personal Housing Expenses,450,in_repayment,Cambodia,F
Fruits & Vegetables,500,paid,Philippines,F
Vehicle,1200,in_repayment,Cambodia,M
Pigs,350,paid,Philippines,F
Manufacturing,1025,in_repayment,Bolivia,F
Personal Products Sales,350,paid,Philippines,F
Charcoal Sales,450,paid,Philippines,F
Home Energy,525,in_repayment,Nicaragua,M
Farming,425,paid,Cambodia,M
Food Production/Sales,625,paid,Philippines,F
Charcoal Sales,225,paid,Philippines,F
General Store,675,paid,Philippines,F
Farming,725,in_repayment,Cambodia,F
Farming,975,in_repayment,Cambodia,F
Retail,975,paid,Nicaragua,F
General Store,450,paid,Philippines,M
Poultry,250,in_repayment,Kenya,F
Food Stall,675,paid,Philippines,F
Embroidery,275,in_repayment,Pakistan,F
Animal Sales,600,in_repayment,Kenya,F
Fruits & Vegetables,550,paid,Mali,F
Used Clothing,550,paid,Mali,F
Beauty Salon,250,paid,Kenya,F
Fish Selling,450,paid,Philippines,F
Food Production/Sales,600,in_repayment,Kenya,F
Motorcycle Transport,575,paid,Philippines,M
Food Production/Sales,550,paid,Mali,F
Farm Supplies,600,in_repayment,Ecuador,M
Electronics Sales,475,in_repayment,Pakistan,F
Food Stall,350,paid,Philippines,F
Cereals,250,in_repayment,Kenya,F
Fruits & Vegetables,250,in_repayment,Kenya,F
General Store,1025,paid,Philippines,F
Livestock,600,in_repayment,Ecuador,M
Food Market,600,in_repayment,Kenya,F
Personal Housing Expenses,1175,paid,Bolivia,F
Tailoring,325,in_repayment,Pakistan,F
Cereals,250,paid,Kenya,M
Personal Housing Expenses,200,in_repayment,El Salvador,M
General Store,675,paid,Philippines,F
Rickshaw,175,paid,Philippines,F
General Store,675,paid,Philippines,F
General Store,1050,in_repayment,Colombia,M
Agriculture,125,paid,Philippines,F
Agriculture,125,paid,Philippines,F
Agriculture,250,in_repayment,Kenya,F
Sewing,6525,in_repayment,Costa Rica,F
Charcoal Sales,400,paid,Philippines,F
Charcoal Sales,325,paid,Philippines,F
Farming,525,in_repayment,Cambodia,F
Retail,225,paid,Mali,F
Clothing Sales,450,in_repayment,Nicaragua,F
General Store,150,paid,Philippines,F
Livestock,1000,in_repayment,El Salvador,F
Higher education costs,225,paid,Colombia,F
Restaurant,200,paid,Mali,F
Weaving,1175,in_repayment,Guatemala,F
Personal Housing Expenses,300,in_repayment,El Salvador,F
General Store,525,paid,Philippines,F
Farming,625,paid,Cambodia,F
Farming,775,paid,Cambodia,F
Clothing,650,paid,Mali,F
Clothing Sales,400,in_repayment,Guatemala,F
Personal Housing Expenses,500,in_repayment,El Salvador,F
Animal Sales,1000,in_repayment,Ecuador,F
Fruits & Vegetables,525,paid,Philippines,F
Fishing,225,paid,Philippines,F
Food Production/Sales,800,paid,El Salvador,F
Agriculture,1000,in_repayment,Ecuador,M
Clothing Sales,500,in_repayment,El Salvador,F
Waste Management,575,in_repayment,Kenya,F
Farming,400,in_repayment,Cambodia,F
Farming,325,paid,Philippines,F
Fish Selling,250,paid,Philippines,F
Agriculture,1000,in_repayment,Ecuador,F
Animal Sales,1000,in_repayment,Ecuador,M
Farming,525,paid,Cambodia,F
General Store,325,paid,Philippines,F
General Store,125,paid,Philippines,F
Dairy,1175,in_repayment,Bolivia,F
Personal Housing Expenses,300,in_repayment,El Salvador,F
General Store,450,in_repayment,Philippines,M
Agriculture,675,in_repayment,Cambodia,F
Construction Supplies,125,paid,Philippines,F
Farming,125,paid,Kenya,F
Personal Products Sales,450,paid,Philippines,F
General Store,125,paid,Philippines,F
Higher education costs,225,paid,Colombia,F
Farming,1025,paid,Cambodia,F
Transportation,125,paid,Philippines,F
Agriculture,775,in_repayment,Guatemala,F
Food Production/Sales,100,paid,Philippines,F
Pigs,275,paid,Philippines,F
Pigs,600,in_repayment,Ecuador,F
General Store,300,paid,Philippines,F
Clothing Sales,1725,paid,Mongolia,F
Office Supplies,150,paid,Philippines,F
Pigs,125,paid,Philippines,F
Charcoal Sales,125,paid,Philippines,F
General Store,325,in_repayment,Philippines,F
Paper Sales,500,paid,Colombia,F
Animal Sales,600,in_repayment,Ecuador,M
Farming,250,paid,Kenya,M
General Store,450,paid,Philippines,F
Higher education costs,525,in_repayment,Cambodia,F
Jewelry,150,paid,Philippines,F
Farming,0,refunded,Uganda,M
Personal Housing Expenses,300,in_repayment,El Salvador,M
Shoe Sales,250,in_repayment,Kenya,F
Higher education costs,600,in_repayment,Ecuador,M
Higher education costs,600,in_repayment,Ecuador,M
Food Production/Sales,150,paid,Philippines,F
Animal Sales,2000,in_repayment,Azerbaijan,M
Food Stall,525,paid,Guatemala,F
Charcoal Sales,1025,paid,Tanzania,F
Clothing Sales,350,in_repayment,Kenya,M
Bakery,350,in_repayment,Philippines,F
